'abs_01_QDs_ZnS_Mn_after_2020-10-14_14-46.spc - RawData'
'Wavelength nm.'	'Abs.'
200.0	0.7660
201.0	0.7569
202.0	0.7663
203.0	0.8098
204.0	0.8405
205.0	0.9097
206.0	1.0357
207.0	1.1806
208.0	1.2935
209.0	1.4777
210.0	1.6623
211.0	1.8215
212.0	1.9715
213.0	2.1164
214.0	2.1829
215.0	2.2686
216.0	2.3347
217.0	2.3865
218.0	2.4359
219.0	2.4722
220.0	2.4914
221.0	2.4942
222.0	2.5049
223.0	2.5031
224.0	2.5044
225.0	2.4974
226.0	2.5071
227.0	2.4916
228.0	2.5014
229.0	2.4884
230.0	2.5042
231.0	2.4988
232.0	2.5203
233.0	2.5208
234.0	2.5396
235.0	2.5576
236.0	2.5758
237.0	2.5809
238.0	2.5898
239.0	2.6090
240.0	2.6184
241.0	2.6331
242.0	2.6406
243.0	2.6469
244.0	2.6601
245.0	2.6679
246.0	2.6687
247.0	2.6761
248.0	2.6929
249.0	2.6956
250.0	2.6986
251.0	2.7139
252.0	2.7256
253.0	2.7280
254.0	2.7277
255.0	2.7310
256.0	2.7325
257.0	2.7346
258.0	2.7354
259.0	2.7370
260.0	2.7444
261.0	2.7426
262.0	2.7556
263.0	2.7590
264.0	2.7633
265.0	2.7573
266.0	2.7590
267.0	2.7478
268.0	2.7449
269.0	2.7504
270.0	2.7509
271.0	2.6966
272.0	2.5609
273.0	2.3468
274.0	2.0812
275.0	1.8218
276.0	1.5892
277.0	1.3848
278.0	1.2050
279.0	1.0530
280.0	0.9263
281.0	0.8120
282.0	0.7203
283.0	0.6467
284.0	0.5887
285.0	0.5430
286.0	0.5094
287.0	0.4835
288.0	0.4616
289.0	0.4431
290.0	0.4241
291.0	0.4083
292.0	0.3925
293.0	0.3779
294.0	0.3623
295.0	0.3485
296.0	0.3340
297.0	0.3189
298.0	0.3049
299.0	0.2930
300.0	0.2826
301.0	0.2732
302.0	0.2654
303.0	0.2576
304.0	0.2511
305.0	0.2432
306.0	0.2360
307.0	0.2283
308.0	0.2216
309.0	0.2134
310.0	0.2055
311.0	0.1980
312.0	0.1903
313.0	0.1820
314.0	0.1738
315.0	0.1657
316.0	0.1575
317.0	0.1495
318.0	0.1428
319.0	0.1356
320.0	0.1297
321.0	0.1244
322.0	0.1194
323.0	0.1142
324.0	0.1108
325.0	0.1079
326.0	0.1044
327.0	0.1020
328.0	0.0997
329.0	0.0968
330.0	0.0945
331.0	0.0929
332.0	0.0908
333.0	0.0890
334.0	0.0888
335.0	0.0868
336.0	0.0854
337.0	0.0842
338.0	0.0825
339.0	0.0800
340.0	0.0789
341.0	0.0777
342.0	0.0765
343.0	0.0760
344.0	0.0757
345.0	0.0750
346.0	0.0738
347.0	0.0731
348.0	0.0721
349.0	0.0709
350.0	0.0698
351.0	0.0685
352.0	0.0676
353.0	0.0662
354.0	0.0653
355.0	0.0642
356.0	0.0637
357.0	0.0627
358.0	0.0621
359.0	0.0610
360.0	0.0604
361.0	0.0592
362.0	0.0586
363.0	0.0580
364.0	0.0576
365.0	0.0571
366.0	0.0568
367.0	0.0560
368.0	0.0554
369.0	0.0543
370.0	0.0538
371.0	0.0533
372.0	0.0526
373.0	0.0519
374.0	0.0513
375.0	0.0497
376.0	0.0487
377.0	0.0483
378.0	0.0477
379.0	0.0474
380.0	0.0475
381.0	0.0473
382.0	0.0471
383.0	0.0465
384.0	0.0459
385.0	0.0456
386.0	0.0449
387.0	0.0443
388.0	0.0443
389.0	0.0441
390.0	0.0440
391.0	0.0440
392.0	0.0439
393.0	0.0435
394.0	0.0434
395.0	0.0429
396.0	0.0428
397.0	0.0424
398.0	0.0423
399.0	0.0419
400.0	0.0423
401.0	0.0416
402.0	0.0414
403.0	0.0413
404.0	0.0411
405.0	0.0407
406.0	0.0410
407.0	0.0409
408.0	0.0407
409.0	0.0406
410.0	0.0403
411.0	0.0401
412.0	0.0398
413.0	0.0396
414.0	0.0395
415.0	0.0391
416.0	0.0387
417.0	0.0386
418.0	0.0384
419.0	0.0381
420.0	0.0381
421.0	0.0380
422.0	0.0378
423.0	0.0375
424.0	0.0373
425.0	0.0372
426.0	0.0371
427.0	0.0368
428.0	0.0365
429.0	0.0365
430.0	0.0361
431.0	0.0360
432.0	0.0362
433.0	0.0362
434.0	0.0361
435.0	0.0362
436.0	0.0361
437.0	0.0358
438.0	0.0357
439.0	0.0354
440.0	0.0354
441.0	0.0355
442.0	0.0353
443.0	0.0353
444.0	0.0355
445.0	0.0353
446.0	0.0350
447.0	0.0350
448.0	0.0348
449.0	0.0347
450.0	0.0346
451.0	0.0345
452.0	0.0344
453.0	0.0343
454.0	0.0341
455.0	0.0341
456.0	0.0339
457.0	0.0338
458.0	0.0337
459.0	0.0336
460.0	0.0335
461.0	0.0336
462.0	0.0334
