'abs_01_pan_2020_10_02_12-30.spc - RawData'
'Wavelength nm.'	'Abs.'
200.0	3.1449
201.0	3.0710
202.0	2.7127
203.0	2.7849
204.0	2.7020
205.0	2.9543
206.0	2.9134
207.0	3.0399
208.0	3.1447
209.0	3.4862
210.0	3.3355
211.0	3.2857
212.0	3.1707
213.0	3.1346
214.0	3.0746
215.0	3.1193
216.0	3.1699
217.0	3.2922
218.0	3.3714
219.0	3.3452
220.0	3.1682
221.0	3.1077
222.0	3.2130
223.0	3.2291
224.0	3.2754
225.0	3.2203
226.0	3.1777
227.0	3.1913
228.0	3.2358
229.0	3.3255
230.0	3.2846
231.0	3.2156
232.0	3.2002
233.0	3.3513
234.0	3.3758
235.0	3.3788
236.0	3.2407
237.0	3.2019
238.0	3.1763
239.0	3.1765
240.0	3.2306
241.0	3.2904
242.0	3.3068
243.0	3.3824
244.0	3.3568
245.0	3.3675
246.0	3.3732
247.0	3.4679
248.0	3.4969
249.0	3.4006
250.0	3.3658
251.0	3.3489
252.0	3.3284
253.0	3.3795
254.0	3.3616
255.0	3.4549
256.0	3.3816
257.0	3.4149
258.0	3.3804
259.0	3.4282
260.0	3.4719
261.0	3.5324
262.0	3.5294
263.0	3.4726
264.0	3.4931
265.0	3.5014
266.0	3.5761
267.0	3.4992
268.0	3.4241
269.0	3.4065
270.0	3.4602
271.0	3.4824
272.0	3.4240
273.0	3.3985
274.0	3.3415
275.0	3.1044
276.0	2.6805
277.0	2.2873
278.0	1.9402
279.0	1.6863
280.0	1.4882
281.0	1.3507
282.0	1.2498
283.0	1.1829
284.0	1.1247
285.0	1.0988
286.0	1.0795
287.0	1.0910
288.0	1.0927
289.0	1.1046
290.0	1.1114
291.0	1.1290
292.0	1.1489
293.0	1.1634
294.0	1.1698
295.0	1.1773
296.0	1.1932
297.0	1.2041
298.0	1.2071
299.0	1.2062
300.0	1.2083
301.0	1.2094
302.0	1.2037
303.0	1.1959
304.0	1.1915
305.0	1.1884
306.0	1.1808
307.0	1.1742
308.0	1.1639
309.0	1.1545
310.0	1.1365
311.0	1.1166
312.0	1.0973
313.0	1.0678
314.0	1.0300
315.0	0.9835
316.0	0.9321
317.0	0.8774
318.0	0.8244
319.0	0.7739
320.0	0.7227
321.0	0.6703
322.0	0.6229
323.0	0.5831
324.0	0.5479
325.0	0.5144
326.0	0.4852
327.0	0.4609
328.0	0.4409
329.0	0.4235
330.0	0.4063
331.0	0.3923
332.0	0.3746
333.0	0.3582
334.0	0.3437
335.0	0.3314
336.0	0.3186
337.0	0.3043
338.0	0.2926
339.0	0.2854
340.0	0.2789
341.0	0.2741
342.0	0.2695
343.0	0.2671
344.0	0.2678
345.0	0.2706
346.0	0.2747
347.0	0.2792
348.0	0.2842
349.0	0.2910
350.0	0.2977
351.0	0.3056
352.0	0.3150
353.0	0.3261
354.0	0.3375
355.0	0.3473
356.0	0.3581
357.0	0.3700
358.0	0.3833
359.0	0.3967
360.0	0.4108
361.0	0.4261
362.0	0.4397
363.0	0.4534
364.0	0.4685
365.0	0.4856
366.0	0.5013
367.0	0.5158
368.0	0.5317
369.0	0.5494
370.0	0.5670
371.0	0.5840
372.0	0.6016
373.0	0.6199
374.0	0.6385
375.0	0.6553
376.0	0.6730
377.0	0.6901
378.0	0.7099
379.0	0.7282
380.0	0.7449
381.0	0.7606
382.0	0.7763
383.0	0.7931
384.0	0.8097
385.0	0.8278
386.0	0.8462
387.0	0.8653
388.0	0.8833
389.0	0.9004
390.0	0.9166
391.0	0.9329
392.0	0.9514
393.0	0.9681
394.0	0.9843
395.0	1.0001
396.0	1.0168
397.0	1.0344
398.0	1.0503
399.0	1.0662
400.0	1.0815
401.0	1.0960
402.0	1.1105
403.0	1.1261
404.0	1.1405
405.0	1.1548
406.0	1.1686
407.0	1.1848
408.0	1.2006
409.0	1.2162
410.0	1.2301
411.0	1.2438
412.0	1.2559
413.0	1.2666
414.0	1.2788
415.0	1.2905
416.0	1.3043
417.0	1.3156
418.0	1.3286
419.0	1.3409
420.0	1.3566
421.0	1.3704
422.0	1.3865
423.0	1.4024
424.0	1.4215
425.0	1.4414
426.0	1.4609
427.0	1.4801
428.0	1.5006
429.0	1.5214
430.0	1.5424
431.0	1.5599
432.0	1.5771
433.0	1.5948
434.0	1.6126
435.0	1.6300
436.0	1.6451
437.0	1.6588
438.0	1.6694
439.0	1.6795
440.0	1.6902
441.0	1.7029
442.0	1.7147
443.0	1.7273
444.0	1.7396
445.0	1.7537
446.0	1.7685
447.0	1.7852
448.0	1.8022
449.0	1.8193
450.0	1.8369
451.0	1.8551
452.0	1.8747
453.0	1.8941
454.0	1.9133
455.0	1.9309
456.0	1.9493
457.0	1.9667
458.0	1.9827
459.0	1.9961
460.0	2.0094
461.0	2.0182
462.0	2.0241
463.0	2.0249
464.0	2.0259
465.0	2.0270
466.0	2.0275
467.0	2.0239
468.0	2.0162
469.0	2.0059
470.0	1.9954
471.0	1.9863
472.0	1.9760
473.0	1.9672
474.0	1.9560
475.0	1.9469
476.0	1.9359
477.0	1.9272
478.0	1.9197
479.0	1.9138
480.0	1.9062
481.0	1.8981
482.0	1.8912
483.0	1.8838
484.0	1.8770
485.0	1.8664
486.0	1.8541
487.0	1.8366
488.0	1.8192
489.0	1.7977
490.0	1.7763
491.0	1.7471
492.0	1.7159
493.0	1.6768
494.0	1.6366
495.0	1.5903
496.0	1.5413
497.0	1.4865
498.0	1.4290
499.0	1.3674
500.0	1.3046
501.0	1.2404
502.0	1.1747
503.0	1.1070
504.0	1.0374
505.0	0.9676
506.0	0.8997
507.0	0.8324
508.0	0.7696
509.0	0.7097
510.0	0.6547
511.0	0.6018
512.0	0.5516
513.0	0.5037
514.0	0.4595
515.0	0.4189
516.0	0.3816
517.0	0.3477
518.0	0.3166
519.0	0.2886
520.0	0.2629
521.0	0.2395
522.0	0.2186
523.0	0.1994
524.0	0.1830
525.0	0.1676
526.0	0.1549
527.0	0.1422
528.0	0.1316
529.0	0.1212
530.0	0.1128
531.0	0.1054
532.0	0.0992
533.0	0.0938
534.0	0.0884
535.0	0.0837
536.0	0.0791
537.0	0.0757
538.0	0.0721
539.0	0.0694
540.0	0.0672
541.0	0.0653
542.0	0.0637
543.0	0.0618
544.0	0.0603
545.0	0.0586
546.0	0.0580
547.0	0.0575
548.0	0.0573
549.0	0.0564
550.0	0.0555
551.0	0.0548
552.0	0.0545
553.0	0.0546
554.0	0.0547
555.0	0.0545
556.0	0.0542
557.0	0.0539
558.0	0.0537
559.0	0.0534
560.0	0.0532
561.0	0.0526
562.0	0.0524
563.0	0.0512
564.0	0.0503
565.0	0.0489
566.0	0.0481
567.0	0.0473
568.0	0.0468
569.0	0.0457
570.0	0.0448
571.0	0.0434
572.0	0.0422
573.0	0.0412
574.0	0.0404
575.0	0.0401
576.0	0.0392
577.0	0.0387
578.0	0.0382
579.0	0.0377
580.0	0.0369
581.0	0.0362
582.0	0.0359
583.0	0.0356
584.0	0.0349
585.0	0.0348
586.0	0.0347
587.0	0.0346
588.0	0.0340
589.0	0.0333
590.0	0.0332
591.0	0.0332
592.0	0.0334
593.0	0.0332
594.0	0.0328
595.0	0.0324
596.0	0.0327
597.0	0.0329
598.0	0.0330
599.0	0.0329
600.0	0.0320
601.0	0.0320
602.0	0.0316
603.0	0.0319
604.0	0.0316
605.0	0.0321
606.0	0.0321
607.0	0.0322
608.0	0.0320
609.0	0.0316
610.0	0.0318
611.0	0.0315
612.0	0.0321
613.0	0.0316
614.0	0.0316
615.0	0.0313
616.0	0.0315
617.0	0.0316
618.0	0.0316
619.0	0.0315
620.0	0.0317
621.0	0.0318
622.0	0.0318
623.0	0.0312
624.0	0.0308
625.0	0.0311
626.0	0.0311
627.0	0.0311
628.0	0.0311
629.0	0.0311
630.0	0.0318
631.0	0.0316
632.0	0.0319
633.0	0.0316
634.0	0.0315
635.0	0.0313
636.0	0.0308
637.0	0.0305
638.0	0.0302
639.0	0.0304
640.0	0.0304
641.0	0.0306
642.0	0.0305
643.0	0.0307
644.0	0.0307
645.0	0.0307
646.0	0.0305
647.0	0.0304
648.0	0.0306
649.0	0.0307
650.0	0.0308
651.0	0.0310
652.0	0.0309
653.0	0.0308
654.0	0.0305
655.0	0.0309
656.0	0.0309
657.0	0.0312
658.0	0.0307
659.0	0.0307
660.0	0.0306
661.0	0.0302
662.0	0.0301
663.0	0.0303
664.0	0.0307
665.0	0.0307
666.0	0.0303
667.0	0.0302
668.0	0.0305
669.0	0.0306
670.0	0.0311
671.0	0.0312
672.0	0.0308
673.0	0.0302
674.0	0.0299
675.0	0.0297
676.0	0.0297
677.0	0.0298
678.0	0.0306
679.0	0.0307
680.0	0.0305
681.0	0.0298
682.0	0.0298
683.0	0.0296
684.0	0.0300
685.0	0.0302
686.0	0.0303
687.0	0.0301
688.0	0.0305
689.0	0.0308
690.0	0.0307
691.0	0.0304
692.0	0.0306
693.0	0.0308
694.0	0.0311
695.0	0.0308
696.0	0.0304
697.0	0.0301
698.0	0.0294
699.0	0.0299
700.0	0.0298
701.0	0.0306
702.0	0.0308
703.0	0.0304
704.0	0.0305
705.0	0.0306
706.0	0.0310
707.0	0.0312
708.0	0.0304
709.0	0.0309
710.0	0.0303
711.0	0.0307
712.0	0.0302
713.0	0.0310
714.0	0.0313
715.0	0.0314
716.0	0.0304
717.0	0.0294
718.0	0.0293
719.0	0.0297
720.0	0.0300
721.0	0.0305
722.0	0.0293
723.0	0.0296
724.0	0.0299
725.0	0.0313
726.0	0.0311
727.0	0.0299
728.0	0.0291
729.0	0.0293
730.0	0.0298
731.0	0.0293
732.0	0.0294
733.0	0.0300
734.0	0.0305
735.0	0.0310
736.0	0.0301
737.0	0.0305
738.0	0.0300
739.0	0.0304
740.0	0.0304
741.0	0.0297
742.0	0.0291
743.0	0.0293
744.0	0.0294
745.0	0.0296
746.0	0.0300
747.0	0.0307
748.0	0.0301
749.0	0.0306
750.0	0.0310
751.0	0.0321
752.0	0.0309
753.0	0.0303
754.0	0.0292
755.0	0.0291
756.0	0.0288
757.0	0.0289
758.0	0.0285
759.0	0.0292
760.0	0.0294
761.0	0.0295
762.0	0.0292
763.0	0.0291
764.0	0.0298
765.0	0.0301
766.0	0.0318
767.0	0.0321
768.0	0.0314
769.0	0.0300
770.0	0.0295
771.0	0.0297
772.0	0.0306
773.0	0.0305
774.0	0.0301
775.0	0.0296
776.0	0.0285
777.0	0.0279
778.0	0.0283
779.0	0.0302
780.0	0.0316
781.0	0.0306
782.0	0.0297
783.0	0.0294
784.0	0.0293
785.0	0.0291
786.0	0.0279
787.0	0.0287
788.0	0.0291
789.0	0.0296
790.0	0.0300
791.0	0.0301
792.0	0.0312
793.0	0.0311
794.0	0.0316
795.0	0.0311
796.0	0.0304
797.0	0.0303
798.0	0.0296
799.0	0.0301
800.0	0.0300
